id,pdb_id,interaction_energy,backbone_hbond,sidechain_hbond,vdw,electrostatics,solvation_polar,solvation_hydrophobic,vdw_clashes,entropy_sidechain,entropy_mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional_clash,backbone_clash,helix_dipole,water_bridge,disulfide,electrostatic_kon,partial_covalent_bonds,energy_ionisation,entropy_complex,number_of_residues,interface_residues,interface_residues_clashing,interface_residues_vdw_clashing,interface_residues_bb_clashing
1,1A14_1,-4.66047,-2.82035,-3.22689,-12.1038,-1.04024,17.448,-14.4266,2.74824,4.75476,3.25817,0.0,0.0,0.0,1.04193,2.03176,0.0,0.0,-7.10543e-15,-0.293692,0.0,0.0,2.384,614,44,0,0,0
2,1A2Y_1,-4.31649,-2.66224,-6.51102,-10.8157,-0.832983,17.9167,-11.524,2.67975,4.05804,3.26516,0.0,0.0,0.0,0.012331,1.63049,-0.0264334,0.0,-3.55271e-15,0.118762,0.0,0.00511869,2.384,352,34,0,0,0
3,1A3R_1,-17.5147,-4.85702,-11.2873,-20.5502,-7.6603,32.1661,-24.003,2.82784,10.6166,6.02805,0.0,0.0,0.0,0.352889,2.40844,0.0,0.0,0.0,-1.21714,0.0,0.0688952,2.384,247,48,0,0,0
4,1ADQ_1,-1.96437,-1.82501,-3.10312,-11.8898,-2.41057,18.1664,-13.913,1.13778,6.20681,5.2271,0.0,0.0,0.0,1.35149,3.27224,0.0187341,0.0,1.77636e-15,-0.971026,0.0,0.0398726,2.384,440,41,0,0,0
5,1AFV_1,-1.7881,-1.1812,-7.94664,-13.4801,-4.5391,22.3009,-15.4,9.9218,6.30746,1.62519,0.0,0.0,0.0,0.696816,2.84872,0.00511019,0.0,0.0,-0.0983682,0.0,-5.55112e-17,2.384,384,38,2,2,0
6,1AHW_1,7.2713,-5.13038,-7.52366,-18.52,-2.58737,33.7221,-20.2327,11.4595,9.38027,5.13584,0.0,0.0,0.0,2.22528,2.81065,0.0,0.0,-8.88178e-16,-0.660535,0.0,0.00292672,2.384,435,56,2,2,0
7,1AI1_1,5.90371,-1.13746,-1.98024,-10.6776,-2.78932,14.561,-12.8819,12.143,3.98958,3.18753,0.0,0.0,0.0,1.89209,4.5388,0.0,0.0,0.0,-0.465461,0.0,0.0624689,2.384,247,25,4,3,1
8,1BGX_1,27.8872,-1.37362,-4.8831,-49.4352,-1.85013,85.6021,-55.9665,12.2461,21.7335,19.432,0.0,0.0,0.0,2.39724,9.48025,-0.024682,0.0,0.0,0.00962307,0.0,0.0,2.384,1056,154,1,1,0
9,1BJ1_1,-6.27002,-5.7834,-3.58338,-20.2424,0.0618536,27.3229,-24.5384,3.34185,8.83911,7.20999,0.0,0.0,0.0,0.554525,1.6073,0.0,0.0,0.0,-0.10684,0.0,0.654078,2.384,327,40,1,1,0
10,1BVK_1,-4.84564,-1.5185,-7.11854,-11.0924,-1.4302,18.8433,-11.7618,4.25086,3.1901,1.63141,0.0,0.0,0.0,0.176808,2.39389,-0.162635,0.0,0.0,0.142008,0.0,0.00384283,2.384,353,32,1,1,0
11,1CE1_1,-0.384712,-2.68392,-7.25822,-9.12349,-4.70721,17.1158,-8.9779,8.13295,3.57238,3.96768,0.0,0.0,0.0,0.276269,1.44088,0.0,0.0,0.0,-0.710878,0.0,0.0118009,2.384,239,26,4,4,0
12,1CIC_1,-10.5262,-2.14448,-5.31421,-14.9522,-2.44661,19.7976,-18.0839,5.46193,3.89449,1.92969,0.0,0.0,-8.88178e-16,1.50325,1.86471,0.0,0.0,0.0,-0.213297,0.0,0.0416314,2.384,656,41,0,0,0
13,1CIC_2,-10.5262,-2.14448,-5.31421,-14.9522,-2.44661,19.7976,-18.0839,5.46193,3.89449,1.92969,0.0,0.0,0.0,1.50325,1.86471,0.0,0.0,-7.10543e-15,-0.213297,0.0,0.0416314,2.384,658,41,0,0,0
14,1CU4_1,-7.03025,-2.58261,-5.41453,-16.166,-2.89902,22.9899,-21.3013,3.73835,8.29326,6.50743,0.0,0.0,0.0,0.245503,2.74537,0.0,0.0,0.0,-0.505272,0.0,0.0641316,2.384,240,37,0,0,0
