pdb	no_motifs	conn_res_paratope	conn_res_epitope	energy	hfr1	hfr2	hfr3	hfr4	lfr1	lfr2	lfr3	lfr4	cdrh1	cdrh2	cdrh3	cdrl1	cdrl2	cdrl3	avg_len_para	avg_len_epi
1A14_1	5	23	31	-4.66047	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4.6	6.2
1A2Y_1	8	18	30	-4.31649	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.25	3.75
1A3R_1	9	37	37	-17.5147	1	0	1	0	0	1	0	0	1	1	1	1	1	1	4.111111111111111	4.111111111111111
1ADQ_1	8	26	33	-1.96437	1	0	0	0	0	1	1	0	1	1	1	1	1	0	3.25	4.125
1AFV_1	5	22	27	-1.7881	0	0	0	0	0	0	0	0	1	1	1	1	0	1	4.4	5.4
1AHW_1	8	28	41	7.2713	1	0	0	0	1	0	0	0	1	1	1	1	1	1	3.5	5.125
1AI1_1	5	29	14	5.90371	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5.8	2.8
1BGX_1	13	77	101	27.8872	1	1	1	1	1	1	1	0	1	1	1	1	1	1	5.923076923076923	7.769230769230769
1BJ1_1	5	28	30	-6.27002	1	0	0	0	0	0	0	0	1	1	1	0	0	1	5.6	6.0
1BVK_1	8	19	33	-4.84564	1	0	0	0	0	1	0	0	1	1	1	1	1	1	2.375	4.125
1CE1_1	6	23	20	-0.384712	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3.8333333333333335	3.3333333333333335
1CIC_1	7	20	74	-10.5262	0	0	0	0	0	1	1	0	0	1	1	1	1	1	2.857142857142857	10.571428571428571
1CIC_2	7	25	68	-10.5262	0	0	0	0	0	0	1	0	1	1	1	1	1	1	3.5714285714285716	9.714285714285714
1CU4_1	8	32	25	-7.03025	1	0	0	0	0	1	0	0	1	1	1	1	1	1	4.0	3.125
1CZ8_1	6	27	32	-8.07536	1	1	0	0	0	0	0	0	1	1	1	0	0	1	4.5	5.333333333333333
1DVF_1	8	27	74	-5.59287	1	0	0	0	0	1	0	0	1	1	1	1	1	1	3.375	9.25
1E4X_1	7	21	22	-10.818	0	0	0	0	0	1	0	0	1	1	1	1	1	1	3.0	3.142857142857143
1E4X_2	7	22	22	-9.13034	0	0	0	0	0	1	0	0	1	1	1	1	1	1	3.142857142857143	3.142857142857143
1E6J_1	5	23	26	-9.3049	1	0	0	0	0	0	0	0	1	1	1	0	0	1	4.6	5.2
1EGJ_1	6	30	25	2.91489	0	0	0	0	0	0	0	0	1	1	1	1	1	1	5.0	4.166666666666667
1EJO_1	8	32	27	-0.863602	0	1	0	0	1	0	0	0	1	1	1	1	1	1	4.0	3.375
1EO8_1	8	22	38	-4.27682	1	0	1	0	0	1	1	0	1	1	1	0	1	0	2.75	4.75
1F58_1	5	30	20	-8.3162	0	0	0	0	0	0	0	0	1	1	1	1	0	1	6.0	4.0
